reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C862,"Venezuela, Bolivarian Republic of",67244035
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C050,Bangladesh,26580161
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C036,Australia,4413509836
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C212,Dominica,3221
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C332,Haiti,16134057
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C454,Malawi,43042677
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C262,Djibouti,177791
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C764,Thailand,2846361187
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C352,Iceland,35455826
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C414,"Kuwait, the State of",1518213
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C710,"South Africa",629672785
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C188,"Costa Rica",1605056713
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C158,"Chinese Taipei",786383344
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C344,"Hong Kong, China",100928713
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C604,Peru,3803978907
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C214,"Dominican Republic",1841864131
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C826,"United Kingdom",2052355712
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C762,Tajikistan,126838
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C076,Brazil,6219833769
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C340,Honduras,1168307593
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C051,Armenia,18015113
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C562,Niger,782232
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C646,Rwanda,28936429
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C458,Malaysia,1093457240
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C417,"Kyrgyz Republic",1958627
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C686,Senegal,523967
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C120,Cameroon,35499078
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C426,Lesotho,29814
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C028,"Antigua and Barbuda",308764
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C706,Somalia,152425
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C818,Egypt,187649041
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C826,"United Kingdom",2043318747
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C112,Belarus,16699532
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C116,Cambodia,90653415
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C320,Guatemala,2888296192
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C231,Ethiopia,214474352
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C626,Timor-Leste,4760429
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C404,Kenya,128644894
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C646,Rwanda,26620294
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C740,Suriname,503316
